word,frequency
ONEANOTHER,1
TENDERLY.SOME,1
"YOU,",1
"POOR,",1
"SOMETIMES,AS",1
"WERE,",1
GASPING,1
BREATH.,1
WHOREAD,1
BOOK,1
UNABLE,1
PAY,1
DINNERS,1
HAVEACTUALLY,1
"EATEN,",1
COATS,1
SHOES,1
FAST,1
WEARING,1
AREALREADY,1
WORN,1
"OUT,",1
COME,1
PAGE,1
BORROWED,1
"STOLENTIME,",1
CREDITORS,1
HOUR.,1
EVIDENT,1
MEANAND,1
SNEAKING,1
SIGHT,1
WHETTED,1
BYEXPERIENCE;,1
ALWAYS,1
"LIMITS,",1
TRYING,1
BUSINESS,1
TRYINGTO,1
"DEBT,",1
ANCIENT,1
"SLOUGH,",1
LATINS,1
"_AESALIENUM_,",1
"BRASS,",1
COINS,1
BRASS;STILL,1
"LIVING,",1
"DYING,",1
BURIED,1
OTHER'S,1
BRASS;,1
ALWAYSPROMISING,1
PROMISING,1
"TOMORROW,",1
DYING,1
"TODAY,INSOLVENT;",1
SEEKING,1
CURRY,1
"FAVOR,",1
"CUSTOM,",1
"MODES,ONLY",1
STATE-PRISON,1
OFFENSES;,1
"LYING,",1
"FLATTERING,",1
"VOTING,",1
CONTRACTINGYOURSELVES,1
NUTSHELL,1
CIVILITY,1
DILATING,1
ATMOSPHERE,1
OFTHIN,1
VAPOROUS,1
"GENEROSITY,",1
PERSUADE,1
NEIGHBOR,1
LETYOU,1
"SHOES,",1
"HAT,",1
"COAT,",1
"CARRIAGE,",1
IMPORTHIS,1
GROCERIES,1
HIM;,1
MAKING,1
YOURSELVES,1
"SICK,",1
LAY,1
UPSOMETHING,1
SICK,1
SOMETHING,1
TUCKED,1
AWAY,1
"OLDCHEST,",1
STOCKING,1
"PLASTERING,",1
"SAFELY,",1
THEBRICK,1
BANK;,1
"WHERE,",1
LITTLE.I,1
SOMETIMES,1
WONDER,1
"FRIVOLOUS,",1
ALMOST,1
"SAY,",1
TOATTEND,1
SOMEWHAT,1
FOREIGN,1
SERVITUDE,1
"NEGROSLAVERY,",1
KEEN,1
SUBTLE,1
MASTERS,1
ENSLAVE,1
BOTHNORTH,1
SOUTH.,1
SOUTHERN,1
OVERSEER;,1
WORSE,1
NORTHERN,1
ONE;,1
WORST,1
SLAVE-DRIVEROF,1
YOURSELF.,1
TALK,1
MAN!,1
TEAMSTER,1
"THEHIGHWAY,",1
WENDING,1
MARKET,1
NIGHT;,1
STIRWITHIN,1
HIM?,1
HIGHEST,1
DUTY,1
FODDER,1
HORSES!,1
HISDESTINY,1
SHIPPING,1
INTERESTS?,1
DRIVEFOR,1
SQUIRE,1
MAKE-A-STIR?,1
"GODLIKE,",1
"IMMORTAL,",1
HE?,1
HECOWERS,1
"SNEAKS,",1
VAGUELY,1
"FEARS,",1
BEING,1
IMMORTALNOR,1
"DIVINE,",1
SLAVE,1
PRISONER,1
AFAME,1
WON,1
DEEDS.,1
PUBLIC,1
WEAK,1
TYRANT,1
OPINION.,1
THINKS,1
"WHICHDETERMINES,",1
RATHER,1
"INDICATES,",1
FATE.,1
SELF-EMANCIPATION,1
THEWEST,1
INDIAN,1
PROVINCES,1
FANCY,1
IMAGINATION--WHAT,1
WILBERFORCEIS,1
BRING,1
ABOUT?,1
"THINK,",1
"ALSO,",1
LADIES,1
LANDWEAVING,1
TOILET,1
CUSHIONS,1
BETRAY,1
GREENAN,1
INTEREST,1
FATES!,1
COULD,1
INJURINGETERNITY.THE,1
LEAD,1
QUIET,1
CALLEDRESIGNATION,1
CONFIRMED,1
CITY,1
YOUGO,1
CONSOLE,1
YOURSELF,1
THEBRAVERY,1
MINKS,1
MUSKRATS.,1
STEREOTYPED,1
UNCONSCIOUS,1
DESPAIRIS,1
CONCEALED,1
GAMES,1
AMUSEMENTS,1
OFMANKIND.,1
PLAY,1
"THEM,",1
COMES,1
AFTER,1
WORK.,1
ISA,1
CHARACTERISTIC,1
THINGS.WHEN,1
"WHAT,",1
WORDS,1
"CATECHISM,",1
CHIEFEND,1
"MAN,",1
MEANS,1
ITAPPEARS,1
DELIBERATELY,1
CHOSEN,1
COMMON,1
MODE,1
LIVINGBECAUSE,1
PREFERRED,1
OTHER.,1
ISNO,1
CHOICE,1
LEFT.,1
ALERT,1
HEALTHY,1
NATURES,1
SUNROSE,1
CLEAR.,1
LATE,1
PREJUDICES.,1
OFTHINKING,1
"DOING,",1
HOWEVER,1
"ANCIENT,",1
TRUSTED,1
PROOF.,1
WHATEVERYBODY,1
ECHOES,1
SILENCE,1
PASSES,1
TO-DAY,1
TURN,1
TOBE,1
FALSEHOOD,1
"TO-MORROW,",1
MERE,1
SMOKE,1
"OPINION,",1
TRUSTEDFOR,1
CLOUD,1
SPRINKLE,1
FERTILIZING,1
RAIN,1
FIELDS.,1
WHATOLD,1
"DO,",1
CAN.,1
DEEDSFOR,1
DEEDS,1
NEW.,1
DID,1
"ENOUGHONCE,",1
"PERCHANCE,",1
FETCH,1
FRESH,1
A-GOING;,1
NEWPEOPLE,1
PUT,1
DRY,1
WOOD,1
"POT,",1
WHIRLED,1
ROUND,1
THEGLOBE,1
SPEED,1
"BIRDS,",1
THEPHRASE,1
IS.,1
"BETTER,",1
HARDLY,1
"WELL,",1
QUALIFIED,1
INSTRUCTORAS,1
"YOUTH,",1
PROFITED,1
LOST.,1
MAYALMOST,1
LEARNED,1
ABSOLUTE,1
VALUE,1
BYLIVING.,1
"PRACTICALLY,",1
"THEYOUNG,",1
"PARTIAL,",1
HAVEBEEN,1
MISERABLE,1
"FAILURES,",1
"REASONS,",1
MUSTBELIEVE;,1
BELIES,1
"THATEXPERIENCE,",1
YOUNG,1
WERE.,1
LIVEDSOME,1
THIRTY,1
YEARS,1
"PLANET,",1
FIRSTSYLLABLE,1
VALUABLE,1
EARNEST,1
SENIORS.,1
HAVETOLD,1
"NOTHING,",1
PROBABLY,1
TELL,1
PURPOSE.HERE,1
EXPERIMENT,1
EXTENT,1
UNTRIED,1
ME;,1
DOESNOT,1
AVAIL,1
TRIED,1
ITHINK,1
"VALUABLE,",1
AM,1
SURE,1
REFLECT,1
MENTORS,1
NOTHINGABOUT.ONE,1
FARMER,1
"ME,",1
"""YOU",1
VEGETABLE,1
"SOLELY,",1
ITFURNISHES,1
NOTHING,1
BONES,1
"WITH"";",1
RELIGIOUSLY,1
DEVOTES,1
APART,1
SUPPLYING,1
RAW,1
MATERIAL,1
OFBONES;,1
WALKING,1
TALKS,1
"OXEN,",1
"WHICH,",1
WITHVEGETABLE-MADE,1
"BONES,",1
JERK,1
LUMBERING,1
PLOW,1
ALONG,1
SPITEOF,1
OBSTACLE.,1
REALLY,1
"SOMECIRCLES,",1
HELPLESS,1
"DISEASED,",1
"LUXURIESMERELY,",1
STILL,1
ENTIRELY,1
UNKNOWN.THE,1
WHOLE,1
SEEMS,1
GONE,1
OVER,1
BYTHEIR,1
"PREDECESSORS,",1
BOTH,1
HEIGHTS,1
"VALLEYS,",1
CARED,1
FOR.,1
"EVELYN,",1
"""THE",1
SOLOMON,1
PRESCRIBEDORDINANCES,1
DISTANCES,1
TREES;,1
ROMAN,1
PRÆTORS,1
HAVEDECIDED,1
NEIGHBOR'S,1
LAND,1
GATHER,1
THEACORNS,1
FALL,1
"TRESPASS,",1
SHARE,1
BELONGS,1
"THATNEIGHBOR.""",1
HIPPOCRATES,1
DIRECTIONS,1
OURNAILS;,1
ENDS,1
NEITHER,1
SHORTER,1
NORLONGER.,1
UNDOUBTEDLY,1
TEDIUM,1
ENNUI,1
PRESUME,1
HAVEEXHAUSTED,1
VARIETY,1
JOYS,1
ADAM.,1
MAN'SCAPACITIES,1
MEASURED;,1
CANDO,1
"PRECEDENTS,",1
TRIED.,1
THYFAILURES,1
"HITHERTO,",1
"""BE",1
"AFFLICTED,",1
"CHILD,",1
ASSIGN,1
TOTHEE,1
THOU,1
HAST,1
"UNDONE?""WE",1
THOUSAND,1
TESTS;,1
"AS,",1
"INSTANCE,THAT",1
RIPENS,1
BEANS,1
ILLUMINES,1
OFEARTHS,1
OURS.,1
REMEMBERED,1
PREVENTED,1
SOMEMISTAKES.,1
LIGHT,1
HOED,1
STARS,1
THEAPEXES,1
WONDERFUL,1
TRIANGLES!,1
DISTANT,1
DIFFERENT,1
BEINGS,1
MANSIONS,1
UNIVERSE,1
CONTEMPLATING,1
MOMENT!,1
NATURE,1
SEVERALCONSTITUTIONS.,1
PROSPECT,1
OFFERS,1
ANOTHER?,1
COULDA,1
EACH,1
OTHER'SEYES,1
INSTANT?,1
WORLD,1
ANHOUR;,1
"AY,",1
WORLDS,1
AGES.,1
"HISTORY,",1
"POETRY,",1
MYTHOLOGY!--IKNOW,1
READING,1
STARTLING,1
INFORMING,1
ASTHIS,1
BE.THE,1
NEIGHBORS,1
BELIEVE,1
SOULTO,1
"BAD,",1
REPENT,1
"ANYTHING,",1
LIKELY,1
GOODBEHAVIOR.,1
DEMON,1
POSSESSED,1
BEHAVED,1
WELL?,1
SAYTHE,1
THING,1
"CAN,",1
MAN--YOU,1
SEVENTY,1
NOTWITHOUT,1
HONOR,1
KIND--I,1
IRRESISTIBLE,1
VOICE,1
INVITES,1
MEAWAY,1
GENERATION,1
ABANDONS,1
ENTERPRISES,1
ANOTHERLIKE,1
STRANDED,1
VESSELS.I,1
SAFELY,1
TRUST,1
DEAL,1
MAYWAIVE,1
JUST,1
CARE,1
BESTOW,1
ELSEWHERE.NATURE,1
ADAPTED,1
WEAKNESS,1
STRENGTH.,1
THEINCESSANT,1
STRAIN,1
WELL-NIGH,1
INCURABLE,1
OFDISEASE.,1
EXAGGERATE,1
IMPORTANCE,1
WORK,1
DO;AND,1
DONE,1
US!,1
SICK?HOW,1
VIGILANT,1
ARE!,1
DETERMINED,1
AVOID,1
IT;ALL,1
"ALERT,",1
NIGHT,1
UNWILLINGLY,1
PRAYERSAND,1
COMMIT,1
UNCERTAINTIES.,1
THOROUGHLY,1
SINCERELY,1
COMPELLED,1
REVERENCING,1
DENYING,1
POSSIBILITYOF,1
CHANGE.,1
"WAY,",1
SAY;,1
WAYS,1
ASTHERE,1
DRAWN,1
RADII,1
CENTRE.,1
CHANGE,1
TOCONTEMPLATE;,1
TAKING,1
INSTANT.CONFUCIUS,1
"SAID,",1
"""TO",1
NOTKNOW,1
"KNOWLEDGE.""",1
HASREDUCED,1
IMAGINATION,1
"UNDERSTANDING,",1
IFORESEE,1
LENGTH,1
ESTABLISH,1
BASIS.LET,1
MOMENT,1
TROUBLE,1
WHICHI,1
REFERRED,1
"ABOUT,",1
"BETROUBLED,",1
LEAST,1
CAREFUL.,1
ADVANTAGE,1
LIVEA,1
PRIMITIVE,1
FRONTIER,1
THOUGH,1
MIDST,1
"OUTWARDCIVILIZATION,",1
LEARN,1
LIFEAND,1
THEM;,1
OVERTHE,1
DAY-BOOKS,1
"MERCHANTS,",1
MOSTCOMMONLY,1
BOUGHT,1
"STORES,",1
"STORED,",1
THEGROSSEST,1
GROCERIES.,1
IMPROVEMENTS,1
LITTLEINFLUENCE,1
ESSENTIAL,1
LAWS,1
EXISTENCE;,1
"SKELETONS,PROBABLY,",1
DISTINGUISHED,1
ANCESTORS.BY,1
"WORDS,",1
_NECESSARY,1
"LIFE_,",1
"WHATEVER,",1
MANOBTAINS,1
"EXERTIONS,",1
"FIRST,",1
USEHAS,1
"BECOME,",1
"FEW,",1
"FROMSAVAGENESS,",1
"POVERTY,",1
"PHILOSOPHY,",1
EVER,1
ATTEMPT,1
TOMANY,1
CREATURES,1
FOOD.TO,1
BISON,1
PRAIRIE,1
INCHES,1
PALATABLE,1
"GRASS,WITH",1
DRINK;,1
UNLESS,1
SEEKS,1
FOREST,1
THEMOUNTAIN'S,1
SHADOW.,1
BRUTE,1
CREATION,1
REQUIRES,1
FOODAND,1
SHELTER.,1
CLIMATE,1
"MAY,ACCURATELY",1
"ENOUGH,",1
DISTRIBUTED,1
HEADS,1
"FOOD,SHELTER,",1
FUEL;,1
SECURED,1
PREPARED,1
ENTERTAIN,1
FREEDOM,1
APROSPECT,1
SUCCESS.,1
"INVENTED,",1
CLOTHES,1
ANDCOOKED,1
FOOD;,1
POSSIBLY,1
ACCIDENTAL,1
DISCOVERY,1
"OFFIRE,",1
CONSEQUENT,1
FIRST,1
AROSE,1
PRESENTNECESSITY,1
SIT,1
OBSERVE,1
CATS,1
DOGS,1
ACQUIRING,1
SAMESECOND,1
NATURE.,1
PROPER,1
LEGITIMATELY,1
RETAINOUR,1
INTERNAL,1
HEAT;,1
EXCESS,1
"THESE,",1
"THATIS,",1
EXTERNAL,1
"INTERNAL,",1
NOTCOOKERY,1
PROPERLY,1
BEGIN?,1
"DARWIN,",1
"NATURALIST,",1
THEINHABITANTS,1
TIERRA,1
DEL,1
"FUEGO,",1
"PARTY,",1
WELLCLOTHED,1
SITTING,1
CLOSE,1
"NAKEDSAVAGES,",1
FARTHER,1
"OFF,",1
"OBSERVED,",1
"SURPRISE,",1
"""TOBE",1
STREAMING,1
PERSPIRATION,1
UNDERGOING,1
"ROASTING.""",1
"SO,",1
WEARE,1
"TOLD,",1
HOLLANDER,1
NAKED,1
"IMPUNITY,",1
EUROPEANSHIVERS,1
CLOTHES.,1
IMPOSSIBLE,1
COMBINE,1
HARDINESS,1
OFTHESE,1
SAVAGES,1
INTELLECTUALNESS,1
CIVILIZED,1
MAN?,1
ACCORDINGTO,1
"LIEBIG,",1
BODY,1
"STOVE,",1
THEINTERNAL,1
COMBUSTION,1
LUNGS.,1
COLD,1
WEATHER,1
EAT,1
"MORE,",1
WARMLESS.,1
ANIMAL,1
RESULT,1
SLOW,1
"COMBUSTION,",1
DISEASEAND,1
DEATH,1
RAPID;,1
ORFROM,1
DEFECT,1
"DRAUGHT,",1
OUT.,1
VITALHEAT,1
CONFOUNDED,1
FIRE;,1
ANALOGY.,1
"ITAPPEARS,",1
"THEREFORE,",1
ABOVE,1
"LIST,",1
"_ANIMALLIFE_,",1
NEARLY,1
SYNONYMOUS,1
_ANIMAL,1
HEAT_;,1
WHILEFOOD,1
REGARDED,1
US--ANDFUEL,1
SERVES,1
INCREASE,1
OURBODIES,1
ADDITION,1
WITHOUT--SHELTER,1
SERVE,1
TORETAIN,1
GENERATED,1
ABSORBED.THE,1
GRAND,1
"NECESSITY,",1
"THEN,",1
"BODIES,",1
KEEPTHE,1
US.,1
PAINS,1
ACCORDINGLY,1
"TAKE,",1
"BEDS,",1
"OURNIGHT-CLOTHES,",1
NESTS,1
BREASTS,1
BIRDS,1
THISSHELTER,1
MOLE,1
BED,1
GRASS,1
LEAVES,1
END,1
BURROW!,1
POOR,1
WONT,1
COMPLAIN,1
ACOLD,1
WORLD;,1
"COLD,",1
PHYSICAL,1
"SOCIAL,",1
REFER,1
DIRECTLYA,1
AILS.,1
"SUMMER,",1
"CLIMATES,",1
POSSIBLETO,1
SORT,1
ELYSIAN,1
EXCEPT,1
COOK,1
ISTHEN,1
UNNECESSARY;,1
ARESUFFICIENTLY,1
COOKED,1
RAYS;,1
GENERALLY,1
"VARIOUS,AND",1
EASILY,1
"OBTAINED,",1
WHOLLY,1
HALFUNNECESSARY.,1
BYMY,1
"EXPERIENCE,",1
"IMPLEMENTS,",1
"KNIFE,",1
"AXE,",1
"SPADE,",1
"AWHEELBARROW,",1
"ETC.,",1
"STUDIOUS,",1
"LAMPLIGHT,",1
"STATIONERY,",1
ANDACCESS,1
"BOOKS,",1
RANK,1
NEXT,1
"NECESSARIES,",1
OBTAINEDAT,1
TRIFLING,1
COST.,1
"SOME,",1
"WISE,",1
OTHER,1
SIDE,1
"THEGLOBE,",1
BARBAROUS,1
UNHEALTHY,1
"REGIONS,",1
DEVOTE,1
THEMSELVES,1
TOTRADE,1
TEN,1
TWENTY,1
ORDER,1
LIVE--THAT,1
"IS,KEEP",1
WARM--AND,1
DIE,1
ENGLAND,1
LAST.,1
LUXURIOUSLYRICH,1
SIMPLY,1
KEPT,1
UNNATURALLY,1
HOT;,1
IIMPLIED,1
"BEFORE,",1
"COOKED,",1
_À,1
LA,1
MODE_.MOST,1
"LUXURIES,",1
SO-CALLED,1
COMFORTS,1
ARENOT,1
"INDISPENSABLE,",1
POSITIVE,1
HINDRANCES,1
ELEVATIONOF,1
MANKIND.,1
RESPECT,1
LUXURIES,1
"COMFORTS,",1
HAVEEVER,1
MEAGRE,1
POOR.,1
"ANCIENTPHILOSOPHERS,",1
"CHINESE,",1
"HINDOO,",1
"PERSIAN,",1
"GREEK,",1
THANWHICH,1
POORER,1
"RICHES,",1
RICH,1
INWARD.,1
WEKNOW,1
ABOUT,1
REMARKABLE,1
THEMAS,1
MODERN,1
REFORMERS,1
BENEFACTORSOF,1
RACE.,1
IMPARTIAL,1
OBSERVER,1
LIFEBUT,1
VANTAGE,1
VOLUNTARY,1
POVERTY.OF,1
"AGRICULTURE,",1
"ORCOMMERCE,",1
"LITERATURE,",1
ART.,1
NOWADAYS,1
PROFESSORS,1
"OFPHILOSOPHY,",1
PHILOSOPHERS.,1
PROFESS,1
BECAUSEIT,1
LIVE.,1
HAVESUBTLE,1
"THOUGHTS,",1
FOUND,1
"SCHOOL,",1
LOVE,1
ASTO,1
"DICTATES,",1
"SIMPLICITY,",1
"INDEPENDENCE,MAGNANIMITY,",1
TRUST.,1
SOLVE,1
NOTONLY,1
"THEORETICALLY,",1
PRACTICALLY.,1
SUCCESS,1
SCHOLARS,1
ANDTHINKERS,1
COMMONLY,1
COURTIER-LIKE,1
"SUCCESS,",1
"KINGLY,",1
MANLY.THEY,1
SHIFT,1
"CONFORMITY,",1
PRACTICALLY,1
THEIRFATHERS,1
"DID,",1
PROGENITORS,1
NOBLE,1
RACE,1
MEN.BUT,1
WHY,1
DEGENERATE,1
EVER?,1
FAMILIES,1
RUN,1
OUT?,1
THENATURE,1
ENERVATES,1
DESTROYS,1
NATIONS?,1
SURETHAT,1
LIVES?,1
INADVANCE,1
"FED,SHELTERED,",1
"CLOTHED,",1
"WARMED,",1
CONTEMPORARIES.,1
APHILOSOPHER,1
MAINTAIN,1
BETTER,1
OTHERMEN?WHEN,1
WARMED,1
MODES,1
"DESCRIBED,",1
WHATDOES,1
NEXT?,1
SURELY,1
"KIND,",1
ANDRICHER,1
LARGER,1
SPLENDID,1
"ABUNDANTCLOTHING,",1
"NUMEROUS,",1
"INCESSANT,",1
HOTTER,1
"FIRES,",1
LIKE.WHEN,1
OBTAINED,1
ISANOTHER,1
ALTERNATIVE,1
SUPERFLUITIES;,1
TOADVENTURE,1
"NOW,",1
VACATION,1
TOIL,1
HAVING,1
COMMENCED.THE,1
"SOIL,",1
"APPEARS,",1
SUITED,1
"SEED,",1
SENT,1
"RADICLEDOWNWARD,",1
NOW,1
SEND,1
SHOOT,1
UPWARD,1
CONFIDENCE.,1
WHYHAS,1
ROOTED,1
HIMSELF,1
FIRMLY,1
"EARTH,",1
RISE,1
PROPORTION,1
HEAVENS,1
ABOVE?--FOR,1
NOBLER,1
PLANTS,1
AREVALUED,1
BEAR,1
AIR,1
"LIGHT,",1
FROMTHE,1
"GROUND,",1
TREATED,1
"ESCULENTS,",1
"WHICH,THOUGH",1
"BIENNIALS,",1
CULTIVATED,1
HAVEPERFECTED,1
"ROOT,",1
DOWN,1
TOP,1
"PURPOSE,",1
SOTHAT,1
THEM,1
FLOWERING,1
SEASON.I,1
PRESCRIBE,1
RULES,1
STRONG,1
VALIANT,1
"NATURES,",1
WILLMIND,1
AFFAIRS,1
HEAVEN,1
"HELL,",1
PERCHANCE,1
BUILDMORE,1
MAGNIFICENTLY,1
LAVISHLY,1
"RICHEST,",1
WITHOUTEVER,1
IMPOVERISHING,1
"THEMSELVES,",1
KNOWING,1
"LIVE--IF,",1
"INDEED,THERE",1
"SUCH,",1
DREAMED;,1
THEIRENCOURAGEMENT,1
INSPIRATION,1
PRECISELY,1
CONDITION,1
"OFTHINGS,",1
CHERISH,1
FONDNESS,1
ENTHUSIASM,1
"LOVERS--AND,TO",1
"EXTENT,",1
RECKON,1
MYSELF,1
NUMBER;,1
SPEAK,1
THOSEWHO,1
"EMPLOYED,",1
"CIRCUMSTANCES,",1
WHETHERTHEY,1
EMPLOYED,1
NOT;--BUT,1
MAINLY,1
"AREDISCONTENTED,",1
IDLY,1
COMPLAINING,1
HARDNESS,1
LOT,1
OFTHE,1
"TIMES,",1
IMPROVE,1
COMPLAINMOST,1
ENERGETICALLY,1
INCONSOLABLY,1
BECAUSE,1
"ARE,",1
"THEYSAY,",1
DOING,1
DUTY.,1
MIND,1
SEEMINGLY,1
"WEALTHY,BUT",1
TERRIBLY,1
IMPOVERISHED,1
"ALL,",1
ACCUMULATED,1
"DROSS,BUT",1
RID,1
FORGED,1
THEIROWN,1
GOLDEN,1
SILVER,1
FETTERS.,1
